                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0677,                    3.2,                 1.5268,                0.00658,                0.95455,                0.41356,                0.26059,                0.88591,                 3.8663,                  1.358,                 0.0002,                 0.0002,                 0.0002
                      2,                0.90001,                 2.2172,                 1.4221,                0.01143,                0.98485,                 0.5046,                0.36018,                0.83903,                 3.7024,                 1.3505,             0.00040594,             0.00040594,             0.00040594
                      3,                0.90841,                 1.7828,                 1.3863,                0.86511,                0.34078,                0.63787,                0.48873,                0.92017,                 3.2044,                 1.3655,             0.00060772,             0.00060772,             0.00060772
                      4,                0.81372,                 1.5046,                 1.3188,                0.68771,                 0.6802,                0.80226,                0.54121,                  1.051,                 2.3935,                 1.5355,             0.00080535,             0.00080535,             0.00080535
                      5,                0.86165,                 1.3642,                 1.3333,                0.64589,                0.89132,                0.87329,                0.60047,                 1.0854,                 3.1598,                 1.7426,              0.0009604,              0.0009604,              0.0009604
                      6,                0.82965,                 1.3349,                   1.31,                0.69776,                0.86723,                0.96271,                0.72861,                0.82426,                 2.0702,                 1.2611,              0.0009505,              0.0009505,              0.0009505
                      7,                 0.8122,                 1.2419,                 1.2893,                 0.8667,                0.82611,                  0.953,                0.75383,                0.84255,                 1.9098,                 1.2656,              0.0009406,              0.0009406,              0.0009406
                      8,                0.83879,                 1.2192,                 1.2982,                0.89942,                0.92179,                0.95061,                0.72032,                0.81439,                 1.4362,                 1.2974,              0.0009307,              0.0009307,              0.0009307
                      9,                0.79569,                 1.1563,                 1.2633,                0.88535,                0.75227,                0.96038,                0.79983,                0.70645,                 1.3927,                   1.12,              0.0009208,              0.0009208,              0.0009208
                     10,                0.74829,                 1.1112,                 1.2475,                0.92803,                0.93089,                0.97634,                 0.8005,                0.71159,                 1.2317,                 1.1886,              0.0009109,              0.0009109,              0.0009109
                     11,                0.77441,                 1.0956,                 1.2606,                0.94496,                0.93424,                0.96508,                0.79112,                0.74305,                 1.1919,                 1.1859,               0.000901,               0.000901,               0.000901
                     12,                0.79023,                 1.0548,                 1.2614,                0.91695,                0.95066,                0.97941,                 0.8172,                 0.7816,                  1.218,                 1.2123,              0.0008911,              0.0008911,              0.0008911
                     13,                0.74128,                0.96372,                 1.2394,                0.94156,                0.97671,                0.97959,                0.79228,                0.80391,                 1.0914,                 1.2248,              0.0008812,              0.0008812,              0.0008812
                     14,                0.73937,                0.97258,                 1.2558,                0.94864,                0.98484,                 0.9836,                0.80445,                0.71178,                0.97909,                 1.1117,              0.0008713,              0.0008713,              0.0008713
                     15,                0.70894,                0.90531,                 1.2316,                0.96143,                0.97863,                0.98771,                0.80341,                0.69599,                0.98536,                 1.1318,              0.0008614,              0.0008614,              0.0008614
                     16,                0.70439,                 0.8807,                 1.2151,                0.95003,                0.95301,                0.98529,                 0.8351,                0.62624,                0.97015,                 1.0693,              0.0008515,              0.0008515,              0.0008515
                     17,                0.74239,                0.88652,                 1.2264,                0.97042,                0.95598,                0.97483,                0.79865,                0.68294,                0.97184,                 1.1194,              0.0008416,              0.0008416,              0.0008416
                     18,                0.71503,                0.85417,                 1.2338,                0.91363,                0.98595,                0.97922,                 0.8047,                0.69988,                0.95559,                 1.0836,              0.0008317,              0.0008317,              0.0008317
                     19,                0.66345,                0.81167,                 1.1751,                0.95453,                0.92616,                0.96968,                 0.8107,                0.68943,                 1.0012,                 1.0932,              0.0008218,              0.0008218,              0.0008218
                     20,                0.69479,                0.82764,                 1.2035,                0.94843,                0.91754,                0.96336,                0.74119,                0.90418,                 1.2135,                 1.3116,              0.0008119,              0.0008119,              0.0008119
                     21,                0.65201,                0.76515,                 1.1728,                 0.8648,                0.97288,                0.98061,                0.78583,                0.76442,                 1.1737,                 1.1756,               0.000802,               0.000802,               0.000802
                     22,                0.66003,                0.76766,                 1.1944,                0.97072,                0.98921,                0.98392,                0.84683,                0.59785,                0.76789,                  1.044,              0.0007921,              0.0007921,              0.0007921
                     23,                0.66599,                0.72372,                 1.1767,                0.95994,                0.99495,                 0.9813,                0.83019,                0.65959,                 0.8342,                 1.0797,              0.0007822,              0.0007822,              0.0007822
                     24,                 0.6753,                0.71796,                 1.1751,                0.95449,                0.98777,                0.98022,                0.81584,                0.74345,                0.80338,                 1.1059,              0.0007723,              0.0007723,              0.0007723
                     25,                0.67194,                0.70011,                 1.1961,                0.96364,                0.96786,                0.98177,                0.83277,                0.66973,                0.73797,                 1.0888,              0.0007624,              0.0007624,              0.0007624
                     26,                0.65669,                0.66365,                 1.1827,                0.97036,                0.99495,                0.98192,                0.85858,                0.56718,                0.66827,                0.98819,              0.0007525,              0.0007525,              0.0007525
                     27,                0.66846,                0.66316,                 1.1762,                 0.9689,                0.98052,                0.97891,                0.84458,                0.57335,                0.68783,                0.98257,              0.0007426,              0.0007426,              0.0007426
                     28,                0.65513,                0.70934,                 1.1833,                0.95947,                0.99276,                0.97981,                0.84917,                0.58555,                0.71236,                0.98762,              0.0007327,              0.0007327,              0.0007327
                     29,                0.65054,                0.67995,                 1.1827,                0.97502,                0.98994,                0.98128,                0.84375,                0.58389,                0.64768,                  1.007,              0.0007228,              0.0007228,              0.0007228
                     30,                0.61468,                0.66676,                 1.1526,                0.95976,                 0.9899,                0.97726,                0.84092,                0.68367,                0.69219,                 1.0692,              0.0007129,              0.0007129,              0.0007129
                     31,                0.60839,                0.63805,                 1.1379,                0.94361,                0.96751,                0.98243,                0.85334,                0.60404,                0.69774,                 1.0018,               0.000703,               0.000703,               0.000703
                     32,                0.66685,                0.66877,                 1.1696,                0.96739,                0.98805,                0.98739,                0.86242,                0.58725,                0.63556,                 1.0006,              0.0006931,              0.0006931,              0.0006931
                     33,                0.63232,                0.63593,                 1.1717,                0.96297,                0.98602,                0.98054,                0.85176,                0.60089,                0.61122,                 1.0018,              0.0006832,              0.0006832,              0.0006832
                     34,                0.61929,                0.60569,                 1.1564,                0.96714,                0.99308,                0.98603,                0.86586,                0.54642,                 0.5482,                0.95986,              0.0006733,              0.0006733,              0.0006733
                     35,                0.62451,                 0.6342,                 1.1437,                0.97476,                0.99495,                0.98471,                0.86499,                0.53712,                0.55726,                0.96013,              0.0006634,              0.0006634,              0.0006634
                     36,                0.60529,                0.61479,                 1.1354,                0.98007,                0.99167,                0.98028,                0.85919,                0.60008,                 0.5739,                 1.0127,              0.0006535,              0.0006535,              0.0006535
                     37,                0.61847,                0.58123,                 1.1354,                0.97183,                 0.9735,                0.98163,                0.85416,                0.62567,                0.61569,                  1.029,              0.0006436,              0.0006436,              0.0006436
                     38,                0.61725,                0.58822,                 1.1579,                0.97261,                 0.9899,                0.98134,                0.85668,                0.60594,                0.56966,                 1.0361,              0.0006337,              0.0006337,              0.0006337
